,Data Year,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Utility name,Plant FIPS state code,Plant FIPS county code,Latitude,Longitude,Plant primary coal/oil/gas/ other fossil fuel category,Plant capacity factor,Plant nameplate capacity (MW),Plant annual coal net generation (MWh),total population (ACS2018),Total Households,Buffer distance,State percentile for EJ Index for Particulate Matter (PxM 2.5),Regional percentile for EJ Index for Particulate Matter (PM 2.5),National percentile for EJ Index for Particulate Matter (PM 2.5),Raw data for People of Color Population,State percentile for People of Color Population,Regional percentile for People of Color Population,National percentile for People of Color Population,State average for People of Color Population,Regional average for People of Color Population,National average for People of Color Population,Raw data for Low Income Population,State percentile for Low Income Population,Regional percentile for Low Income Population,National percentile for Low Income Population,State average for Low Income Population,Regional average for Low Income Population,National average for Low Income Population,Raw data for Linguistically Isolated Population,State percentile for Linguistically Isolated Population,Regional percentile for Linguistically Isolated Population,National percentile for Linguistically Isolated Population,State average for Linguistically Isolated Population,Regional average for Linguistically Isolated Population,National average for Linguistically Isolated Population,Raw data for Population with Less Than High School Education,State percentile for Population with Less Than High School Education,Regional percentile for Population with Less Than High School Education,National percentile for Population with Less Than High School Education,State average for Population with Less Than High School Education,Regional average for Population with Less Than High School Education,National average for Population with Less Than High School Education,PM 2.5 Emssions (tons)
363,2019,AL,E C Gaston,26,Alabama Power Co,1,117.0,33.244211,-86.458056,COAL,0.31928,2034.0,2788601.2,2385,933,3 miles,25.0,22.0,22.0,0.16,34.0,28.0,31.0,0.34,0.39,0.39,0.3,37.0,41.0,52.0,0.38,0.36,0.33,0.01,77.0,58.0,51.0,0.01,0.03,0.04,0.15,57.0,63.0,68.0,0.14,0.13,0.13,215.8821669395357
379,2019,KY,Shawnee,1379,Tennessee Valley Authority,21,145.0,37.1517,-88.775,COAL,0.37027,1750.0,5665911.0,6114,2651,3 miles,60.0,43.0,46.0,0.12,59.0,22.0,25.0,0.15,0.39,0.39,0.45,64.0,67.0,74.0,0.38,0.36,0.33,0.01,74.0,52.0,46.0,0.01,0.03,0.04,0.15,60.0,65.0,70.0,0.14,0.13,0.13,7878.059741210191
380,2019,AR,Independence,6641,Entergy Arkansas LLC,5,63.0,35.678442,-91.408761,COAL,0.35867,1800.0,5638775.2,1105,475,3 miles,45.0,30.0,44.0,0.05,17.0,3.0,11.0,0.27,0.52,0.39,0.46,63.0,66.0,75.0,0.4,0.37,0.33,0.0,67.0,36.0,45.0,0.02,0.06,0.04,0.23,84.0,74.0,84.0,0.14,0.16,0.13,215.7068272843074
385,2019,MO,Rush Island,6155,Union Electric Co - (MO),29,99.0,38.131248,-90.263157,COAL,0.50969,1242.0,5541168.0,643,229,3 miles,34.0,30.0,23.0,0.03,14.0,13.0,6.0,0.2,0.2,0.39,0.37,61.0,66.0,63.0,0.33,0.31,0.33,0.0,72.0,66.0,45.0,0.01,0.02,0.04,0.08,45.0,53.0,43.0,0.1,0.09,0.13,525.5813133908512
390,2019,OH,Kyger Creek,2876,Ohio Valley Electric Corp,39,53.0,38.9144,-82.1289,COAL,0.57945,1086.5,5507831.82,3981,1751,3 miles,46.0,40.0,29.0,0.02,15.0,10.0,5.0,0.21,0.25,0.39,0.32,56.0,60.0,55.0,0.32,0.3,0.33,0.0,68.0,59.0,45.0,0.01,0.02,0.04,0.15,77.0,78.0,68.0,0.1,0.1,0.13,6695.868319885462
392,2019,IN,R M Schahfer Generating Station,6085,Northern Indiana Pub Serv Co,18,73.0,41.2164,-87.0261,COAL,0.28482,2201.4,5453558.1,1892,695,3 miles,51.0,47.0,35.0,0.11,46.0,41.0,22.0,0.21,0.25,0.39,0.27,44.0,50.0,46.0,0.33,0.3,0.33,0.0,65.0,60.0,45.0,0.02,0.02,0.04,0.14,69.0,76.0,66.0,0.11,0.1,0.13,667.0605206625922
394,2019,WI,Columbia,8023,Wisconsin Power & Light Co,55,21.0,43.4864,-89.4203,COAL,0.55092,1112.0,5363193.7,2125,926,3 miles,26.0,29.0,21.0,0.03,18.0,15.0,7.0,0.18,0.25,0.39,0.17,31.0,30.0,28.0,0.28,0.3,0.33,0.0,62.0,59.0,45.0,0.02,0.02,0.04,0.06,43.0,38.0,33.0,0.08,0.1,0.13,78.7090447398148
397,2019,WV,Longview Power,56671,"Longview Power, LLC",54,61.0,39.707893,-79.958974,COAL,0.74426,807.5,5248694.2,7966,3303,3 miles,64.0,57.0,46.0,0.15,81.0,38.0,29.0,0.08,0.33,0.39,0.4,55.0,77.0,68.0,0.39,0.27,0.33,0.02,93.0,69.0,57.0,0.0,0.03,0.04,0.08,31.0,51.0,46.0,0.13,0.1,0.13,92.57127172159082
400,2019,WV,Mitchell (WV),3948,Kentucky Power Co,54,51.0,39.8297,-80.8153,COAL,0.35246,1632.6,5008423.4,2369,973,3 miles,44.0,47.0,37.0,0.02,32.0,8.0,4.0,0.08,0.33,0.39,0.32,36.0,65.0,56.0,0.39,0.27,0.33,0.01,89.0,56.0,46.0,0.0,0.03,0.04,0.08,30.0,50.0,45.0,0.13,0.1,0.13,847.5201672143836
403,2019,TX,Sandy Creek Energy Station,56611,Sandy Creek Energy Associates LP,48,309.0,31.474378,-96.957149,COAL,0.56925,1008.0,5026547.0,1588,589,3 miles,28.0,30.0,43.0,0.22,14.0,20.0,40.0,0.58,0.52,0.39,0.3,46.0,42.0,52.0,0.35,0.37,0.33,0.02,36.0,46.0,56.0,0.08,0.06,0.04,0.11,43.0,43.0,55.0,0.17,0.16,0.13,168.85698195263063
404,2019,LA,Brame Energy Center,6190,Cleco Power LLC,22,79.0,31.395,-92.716667,COAL,0.33551,1707.3,2705200.6,1483,528,3 miles,84.0,73.0,83.0,0.71,78.0,68.0,79.0,0.41,0.52,0.39,0.68,88.0,90.0,93.0,0.39,0.37,0.33,0.01,68.0,42.0,51.0,0.02,0.06,0.04,0.15,56.0,58.0,70.0,0.15,0.16,0.13,232.4903010951987
