,Data Year,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Utility name,Plant FIPS state code,Plant FIPS county code,Latitude,Longitude,Plant primary coal/oil/gas/ other fossil fuel category,Plant capacity factor,Plant nameplate capacity (MW),Plant annual coal net generation (MWh),total population (ACS2018),Total Households,Buffer distance,State percentile for EJ Index for Particulate Matter (PxM 2.5),Regional percentile for EJ Index for Particulate Matter (PM 2.5),National percentile for EJ Index for Particulate Matter (PM 2.5),Raw data for People of Color Population,State percentile for People of Color Population,Regional percentile for People of Color Population,National percentile for People of Color Population,State average for People of Color Population,Regional average for People of Color Population,National average for People of Color Population,Raw data for Low Income Population,State percentile for Low Income Population,Regional percentile for Low Income Population,National percentile for Low Income Population,State average for Low Income Population,Regional average for Low Income Population,National average for Low Income Population,Raw data for Linguistically Isolated Population,State percentile for Linguistically Isolated Population,Regional percentile for Linguistically Isolated Population,National percentile for Linguistically Isolated Population,State average for Linguistically Isolated Population,Regional average for Linguistically Isolated Population,National average for Linguistically Isolated Population,Raw data for Population with Less Than High School Education,State percentile for Population with Less Than High School Education,Regional percentile for Population with Less Than High School Education,National percentile for Population with Less Than High School Education,State average for Population with Less Than High School Education,Regional average for Population with Less Than High School Education,National average for Population with Less Than High School Education,PM 2.5 Emssions (tons)
986,2019,WY,Neil Simpson II,7504,"Black Hills Power, Inc. d/b/a",56,5.0,44.2856,-105.3833,COAL,0.62772,130.0,663779.59,2342,837,3 miles,93.0,80.0,63.0,0.27,85.0,66.0,45.0,0.16,0.25,0.39,0.45,87.0,82.0,74.0,0.28,0.28,0.33,0.01,75.0,65.0,51.0,0.01,0.02,0.04,0.1,77.0,72.0,54.0,0.07,0.08,0.13,0.306126705651534
987,2019,SC,Winyah,6249,South Carolina Public Service Authority,45,43.0,33.33184,-79.357236,COAL,0.06453,1260.0,701966.73,953,352,3 miles,41.0,40.0,43.0,0.27,42.0,43.0,45.0,0.36,0.39,0.39,0.25,32.0,33.0,44.0,0.36,0.36,0.33,0.06,93.0,82.0,76.0,0.01,0.03,0.04,0.13,58.0,58.0,64.0,0.13,0.13,0.13,35.754022705578706
991,2019,WY,Wygen I,55479,"Black Hills Power, Inc. d/b/a",56,5.0,44.2858,-105.3833,COAL,0.89216,90.0,701956.42,2342,837,3 miles,93.0,80.0,63.0,0.27,85.0,66.0,45.0,0.16,0.25,0.39,0.45,87.0,82.0,74.0,0.28,0.28,0.33,0.01,75.0,65.0,51.0,0.01,0.02,0.04,0.1,77.0,72.0,54.0,0.07,0.08,0.13,2.641250207472608
997,2019,IA,Muscatine,1167,Board of Water Electric & Communications,19,139.0,41.3917,-91.0569,COAL,0.27031,293.5,693064.278,14342,5346,3 miles,84.0,78.0,58.0,0.3,86.0,79.0,49.0,0.14,0.2,0.39,0.41,78.0,71.0,69.0,0.29,0.31,0.33,0.04,83.0,84.0,66.0,0.02,0.02,0.04,0.16,87.0,82.0,72.0,0.08,0.09,0.13,20.165606617079522
1004,2019,MI,Erickson,1832,Lansing Board of Water and Light,26,45.0,42.692222,-84.657222,COAL,0.51026,154.7,690672.86,18316,7817,3 miles,72.0,72.0,57.0,0.39,78.0,77.0,58.0,0.25,0.25,0.39,0.32,56.0,60.0,56.0,0.33,0.3,0.33,0.02,77.0,72.0,58.0,0.02,0.02,0.04,0.06,40.0,41.0,35.0,0.09,0.1,0.13,1.2210838179437404
1022,2019,PA,Bruce Mansfield,6094,FirstEnergy Generation Corp,42,7.0,40.6348,-80.4159,COAL,0.02725,2741.1,647093.54,6493,2589,3 miles,71.0,60.0,50.0,0.15,58.0,40.0,30.0,0.23,0.33,0.39,0.37,72.0,73.0,63.0,0.29,0.27,0.33,0.0,57.0,55.0,45.0,0.02,0.03,0.04,0.11,65.0,62.0,56.0,0.1,0.1,0.13,88.72485638118577
1024,2019,NE,Lon D Wright Power Plant,2240,City of Fremont - (NE),31,53.0,41.4281,-96.4623,COAL,0.34756,213.2,433260.74,25569,10578,3 miles,66.0,67.0,49.0,0.19,62.0,66.0,36.0,0.21,0.2,0.39,0.39,73.0,68.0,66.0,0.29,0.31,0.33,0.06,84.0,91.0,76.0,0.03,0.02,0.04,0.12,76.0,71.0,60.0,0.09,0.09,0.13,21.51301759602787
1051,2019,PA,Gilberton Power Company,10113,Gilberton Power Co,42,107.0,40.7903,-76.1983,COAL,0.8062,88.4,623353.61,16636,5700,3 miles,76.0,66.0,56.0,0.25,71.0,53.0,44.0,0.23,0.33,0.39,0.43,78.0,80.0,71.0,0.29,0.27,0.33,0.02,70.0,67.0,55.0,0.02,0.03,0.04,0.14,77.0,74.0,66.0,0.1,0.1,0.13,44.16604910990354
1099,2019,MI,River Rouge,1740,DTE Electric Company,26,163.0,42.2739,-83.1119,COAL,0.07548,944.0,387977.313,53437,17887,3 miles,94.0,93.0,83.0,0.73,90.0,90.0,80.0,0.25,0.25,0.39,0.7,92.0,94.0,94.0,0.33,0.3,0.33,0.1,95.0,92.0,84.0,0.02,0.02,0.04,0.35,97.0,97.0,93.0,0.09,0.1,0.13,1.685010076854176
1121,2019,PA,St. Nicholas Cogeneration Project,54634,Schuylkill Energy Resource Inc,42,107.0,40.8222,-76.1736,COAL,0.69102,99.2,597851.58,14273,4814,3 miles,81.0,73.0,64.0,0.3,74.0,58.0,49.0,0.23,0.33,0.39,0.55,88.0,90.0,84.0,0.29,0.27,0.33,0.02,73.0,70.0,57.0,0.02,0.03,0.04,0.17,83.0,80.0,73.0,0.1,0.1,0.13,68.52279558832453
1145,2019,WV,Grant Town Power Plant,10151,American Bituminous Power LP,54,49.0,39.561831,-80.163138,COAL,0.71334,95.7,570034.66,3153,1358,3 miles,65.0,57.0,46.0,0.05,55.0,19.0,11.0,0.08,0.33,0.39,0.42,57.0,78.0,70.0,0.39,0.27,0.33,0.0,88.0,55.0,45.0,0.0,0.03,0.04,0.12,50.0,68.0,61.0,0.13,0.1,0.13,65.42826078061228
1197,2019,OK,Hugo,6772,"Western Farmers Elec Coop, Inc",40,23.0,34.0158,-95.3206,COAL,0.05499,1196.0,570530.29,454,189,3 miles,49.0,38.0,54.0,0.23,30.0,21.0,40.0,0.34,0.52,0.39,0.42,62.0,61.0,70.0,0.37,0.37,0.33,0.0,53.0,36.0,45.0,0.02,0.06,0.04,0.17,76.0,62.0,74.0,0.12,0.16,0.13,20.005849809526644
1262,2019,VA,RockTenn West Point Mill,10017,WestRock-West Point Mill,51,101.0,37.5392,-76.8053,COAL,0.65053,101.0,15735.786,4492,1792,3 miles,27.0,34.0,25.0,0.17,26.0,43.0,33.0,0.38,0.33,0.39,0.21,48.0,44.0,35.0,0.25,0.27,0.33,0.0,52.0,55.0,45.0,0.03,0.03,0.04,0.07,43.0,43.0,39.0,0.11,0.1,0.13,39.017660124772966
1271,2019,NJ,Carneys Point,10566,US Operating Services Company,34,33.0,39.693494,-75.485811,COAL,0.22626,285.0,560677.43,14004,5492,3 miles,59.0,56.0,57.0,0.39,51.0,52.0,57.0,0.44,0.44,0.39,0.38,78.0,71.0,65.0,0.24,0.29,0.33,0.05,62.0,60.0,73.0,0.07,0.08,0.04,0.17,79.0,72.0,73.0,0.1,0.13,0.13,16.508324046547123
1279,2019,OK,River Valley,10671,Oklahoma Gas & Electric Co,40,79.0,35.1931,-94.6458,COAL,0.1759,350.0,527539.829,2671,962,3 miles,76.0,53.0,67.0,0.3,51.0,30.0,49.0,0.34,0.52,0.39,0.54,80.0,77.0,84.0,0.37,0.37,0.33,0.01,58.0,38.0,46.0,0.02,0.06,0.04,0.18,79.0,64.0,75.0,0.12,0.16,0.13,61.09058980524877
1282,2019,NE,Platte,59,City of Grand Island - (NE),31,79.0,40.854765,-98.348222,COAL,0.52527,109.8,504762.34,2831,1135,3 miles,53.0,56.0,42.0,0.17,59.0,62.0,32.0,0.21,0.2,0.39,0.29,56.0,50.0,50.0,0.29,0.31,0.33,0.01,67.0,74.0,52.0,0.03,0.02,0.04,0.1,70.0,64.0,53.0,0.09,0.09,0.13,0.0110787945220008
1286,2019,MO,Meramec,2104,Union Electric Co - (MO),29,189.0,38.4017,-90.3358,COAL,0.05449,1041.0,480931.61,26755,10085,3 miles,11.0,9.0,5.0,0.05,23.0,22.0,10.0,0.2,0.2,0.39,0.19,27.0,30.0,31.0,0.33,0.31,0.33,0.01,75.0,68.0,47.0,0.01,0.02,0.04,0.08,48.0,56.0,46.0,0.1,0.09,0.13,55.54130162070433
1290,2019,MD,Chalk Point,1571,"GenOn Chalk Point, LLC",24,33.0,38.5444,-76.6861,COAL,0.02214,2553.0,416849.21,3491,1142,3 miles,19.0,24.0,18.0,0.34,41.0,62.0,53.0,0.49,0.33,0.39,0.1,25.0,18.0,13.0,0.22,0.27,0.33,0.0,47.0,55.0,45.0,0.03,0.03,0.04,0.04,30.0,27.0,25.0,0.1,0.1,0.13,27.651415723554443
1291,2019,AL,Gorgas,8,Alabama Power Co,1,127.0,33.644344,-87.196486,COAL,0.03954,1416.7,489541.89,752,315,3 miles,45.0,41.0,45.0,0.03,7.0,6.0,7.0,0.34,0.39,0.39,0.37,51.0,55.0,64.0,0.38,0.36,0.33,0.0,71.0,51.0,45.0,0.01,0.03,0.04,0.15,57.0,63.0,68.0,0.14,0.13,0.13,89.24702673369364
1292,2019,NJ,Logan Generating Plant,10043,Logan Generating Company LP,34,15.0,39.7928,-75.406667,COAL,0.22721,242.3,480851.07,14972,5493,3 miles,65.0,61.0,63.0,0.36,49.0,50.0,55.0,0.44,0.44,0.39,0.45,84.0,78.0,73.0,0.24,0.29,0.33,0.01,34.0,38.0,51.0,0.07,0.08,0.04,0.14,74.0,66.0,67.0,0.1,0.13,0.13,12.092828539118402
1293,2019,SC,"KapStone Charleston Kraft, LLC",7737,WestRock North Charleston,45,19.0,32.9,-79.9667,COAL,0.55001,99.2,198379.01,28813,11082,3 miles,82.0,76.0,78.0,0.6,80.0,74.0,72.0,0.36,0.39,0.39,0.51,76.0,76.0,81.0,0.36,0.36,0.33,0.05,90.0,79.0,72.0,0.01,0.03,0.04,0.19,74.0,74.0,77.0,0.13,0.13,0.13,38.176004551185436
1294,2019,MI,TES Filer City Station,50835,TES Filer City Station LP,26,101.0,44.217299,-86.28905,COAL,0.16009,323.0,381414.03,9434,3726,3 miles,59.0,62.0,47.0,0.13,48.0,46.0,26.0,0.25,0.25,0.39,0.34,58.0,63.0,59.0,0.33,0.3,0.33,0.01,65.0,61.0,46.0,0.02,0.02,0.04,0.07,50.0,50.0,42.0,0.09,0.1,0.13,54.973074373671736
1302,2019,OH,Avon Lake Power Plant,2836,"GenOn Power Midwest, LP",39,93.0,41.504453,-82.054619,COAL,0.05801,873.1,438253.213,22186,8896,3 miles,11.0,9.0,6.0,0.09,45.0,37.0,20.0,0.21,0.25,0.39,0.17,27.0,29.0,27.0,0.32,0.3,0.33,0.0,69.0,60.0,45.0,0.01,0.02,0.04,0.05,34.0,36.0,30.0,0.1,0.1,0.13,508.20353980747143
1311,2019,IA,Lansing,1047,Interstate Power and Light Co,19,5.0,43.3359,-91.1675,COAL,0.14815,340.5,440514.56,346,160,3 miles,68.0,61.0,45.0,0.03,25.0,16.0,7.0,0.14,0.2,0.39,0.24,45.0,41.0,42.0,0.29,0.31,0.33,0.0,66.0,66.0,45.0,0.02,0.02,0.04,0.05,41.0,36.0,29.0,0.08,0.09,0.13,18.98231519318052
1323,2019,ND,R M Heskett,2790,Montana-Dakota Utilities Co,38,59.0,46.8669,-100.8836,COAL,0.17239,291.0,431391.697,13664,5914,3 miles,31.0,33.0,26.0,0.11,55.0,29.0,22.0,0.15,0.25,0.39,0.2,41.0,39.0,34.0,0.26,0.28,0.33,0.02,84.0,74.0,59.0,0.01,0.02,0.04,0.08,58.0,61.0,43.0,0.08,0.08,0.13,117.0701174372345
1329,2019,UT,Sunnyside Cogen Associates,50951,Sunnyside Cogeneration Assoc,49,7.0,39.5472,-110.3917,COAL,0.78798,58.1,399505.28,1337,533,3 miles,78.0,76.0,58.0,0.17,53.0,48.0,33.0,0.21,0.25,0.39,0.55,90.0,90.0,84.0,0.28,0.28,0.33,0.0,54.0,56.0,45.0,0.02,0.02,0.04,0.18,88.0,88.0,75.0,0.08,0.08,0.13,15.151726212371315
1332,2019,SC,"WestRock CP, LLC Florence Mill",50806,WestRock-Florence,45,41.0,34.1497,-79.5606,COAL,0.39633,103.8,8583.843,1042,354,3 miles,64.0,62.0,65.0,0.38,60.0,57.0,57.0,0.36,0.39,0.39,0.45,67.0,67.0,74.0,0.36,0.36,0.33,0.0,62.0,51.0,45.0,0.01,0.03,0.04,0.17,68.0,69.0,73.0,0.13,0.13,0.13,22.903832263761572
1352,2019,NY,Somerset Operating Company  (Kintigh),6082,Somerset Operating Co LLC,36,63.0,43.358889,-78.604722,COAL,0.06017,655.1,340742.5,987,373,3 miles,26.0,30.0,33.0,0.03,6.0,4.0,5.0,0.44,0.44,0.39,0.2,38.0,43.0,34.0,0.31,0.29,0.33,0.01,36.0,35.0,47.0,0.08,0.08,0.04,0.08,40.0,44.0,44.0,0.14,0.13,0.13,49.229540738131085
1375,2019,AK,Healy,6288,Golden Valley Elec Assn Inc,2,68.0,63.8542,-148.95,COAL,0.42385,92.8,334301.51,794,220,3 miles,,,,0.19,22.0,41.0,36.0,0.39,0.28,0.39,0.39,84.0,71.0,66.0,0.25,0.3,0.33,0.0,51.0,47.0,45.0,0.02,0.03,0.04,0.01,13.0,10.0,8.0,0.07,0.09,0.13,37.436144455068316
1384,2019,WV,Morgantown Energy Facility,10743,Morgantown Energy Associates,54,61.0,39.6397,-79.960556,COAL,0.57016,68.9,341489.08,60444,23165,3 miles,83.0,65.0,55.0,0.16,83.0,40.0,31.0,0.08,0.33,0.39,0.47,68.0,84.0,76.0,0.39,0.27,0.33,0.02,91.0,64.0,53.0,0.0,0.03,0.04,0.07,23.0,42.0,38.0,0.13,0.1,0.13,60.02024199116754
1425,2019,PA,Wheelabrator Frackville Energy,50879,Wheelabrator Environmental Systems,42,107.0,40.782377,-76.176184,COAL,0.80457,48.0,304066.46,12102,3886,3 miles,79.0,71.0,61.0,0.29,73.0,57.0,48.0,0.23,0.33,0.39,0.48,83.0,85.0,78.0,0.29,0.27,0.33,0.01,66.0,63.0,51.0,0.02,0.03,0.04,0.15,80.0,76.0,69.0,0.1,0.1,0.13,256.439608345403
1429,2019,OH,Haverhill North Cogeneration Facility,56848,"SunCoke Energy, Inc.",39,145.0,38.596657,-82.828642,COAL,0.56724,67.0,0.0,5038,1835,3 miles,59.0,53.0,40.0,0.09,43.0,35.0,18.0,0.21,0.25,0.39,0.42,71.0,74.0,70.0,0.32,0.3,0.33,0.0,68.0,59.0,45.0,0.01,0.02,0.04,0.11,67.0,68.0,58.0,0.1,0.1,0.13,10.368532905584168
1444,2019,MN,Hoot Lake,1943,Otter Tail Power Co,27,111.0,46.290641,-96.043252,COAL,0.26355,138.2,312102.51,13981,6257,3 miles,61.0,55.0,42.0,0.08,35.0,33.0,17.0,0.2,0.25,0.39,0.29,67.0,54.0,50.0,0.25,0.3,0.33,0.0,55.0,59.0,45.0,0.02,0.02,0.04,0.08,67.0,52.0,44.0,0.07,0.1,0.13,43.1973004059646
1452,2019,OH,"Middletown Coke Company, LLC",57822,"SunCoke Energy, Inc.",39,17.0,39.472222,-84.401389,COAL,0.52765,67.0,0.0,37072,14102,3 miles,67.0,63.0,48.0,0.23,71.0,63.0,41.0,0.21,0.25,0.39,0.46,75.0,79.0,75.0,0.32,0.3,0.33,0.03,83.0,75.0,61.0,0.01,0.02,0.04,0.17,82.0,82.0,72.0,0.1,0.1,0.13,9.6591721966072
1453,2019,NH,Merrimack,2364,Granite Shore Power,33,13.0,43.1411,-71.4692,COAL,0.06937,496.4,300678.87,11857,4606,3 miles,50.0,37.0,30.0,0.07,57.0,31.0,16.0,0.1,0.24,0.39,0.17,51.0,45.0,28.0,0.2,0.24,0.33,0.0,71.0,47.0,45.0,0.01,0.05,0.04,0.06,52.0,45.0,34.0,0.07,0.09,0.13,169.10930467292653
1454,2019,MT,Colstrip Energy LP,10784,Colstrip Energy LP,30,87.0,45.9752,-106.6547,COAL,0.74547,46.1,300625.55,19,9,3 miles,70.0,63.0,48.0,0.01,4.0,2.0,3.0,0.14,0.25,0.39,0.25,34.0,51.0,44.0,0.34,0.28,0.33,0.0,83.0,55.0,45.0,0.0,0.02,0.04,0.08,70.0,65.0,47.0,0.07,0.08,0.13,13.01107667894236
1456,2019,NE,Archer Daniels Midland Columbus,57046,Archer Daniels Midland Co,31,141.0,41.416442,-97.286328,COAL,0.46823,71.4,292861.0,5624,1902,3 miles,73.0,73.0,54.0,0.35,82.0,83.0,54.0,0.21,0.2,0.39,0.26,50.0,45.0,45.0,0.29,0.31,0.33,0.1,90.0,94.0,84.0,0.03,0.02,0.04,0.21,89.0,89.0,80.0,0.09,0.09,0.13,18.993543391356543
1467,2019,WY,Genesis Alkali,57915,"Genesis Alkali, LLC",56,37.0,41.621667,-109.811944,COAL,0.79754,41.0,207836.64,0,0,3 miles,,,,,,,,0.16,0.25,0.39,,,,,0.28,0.28,0.33,,,,,0.01,0.02,0.04,,,,,0.07,0.08,0.13,12.243637194762847
1483,2019,MT,Lewis & Clark,6089,Montana-Dakota Utilities Co,30,83.0,47.6785,-104.15665,COAL,0.43841,68.6,260914.78,5773,2394,3 miles,52.0,46.0,36.0,0.13,73.0,36.0,27.0,0.14,0.25,0.39,0.2,23.0,40.0,34.0,0.34,0.28,0.33,0.02,90.0,68.0,54.0,0.0,0.02,0.04,0.09,74.0,68.0,50.0,0.07,0.08,0.13,159.73172947092155
1492,2019,CA,Argus Cogen Plant,10684,Searles Valley Minerals Operations Inc.,6,71.0,35.765,-117.3833,COAL,0.45627,62.5,240455.873,1669,736,3 miles,34.0,37.0,59.0,0.26,11.0,14.0,45.0,0.62,0.6,0.39,0.52,79.0,79.0,81.0,0.33,0.33,0.33,0.01,17.0,21.0,47.0,0.09,0.08,0.04,0.17,58.0,61.0,73.0,0.17,0.16,0.13,11.926542450687872
1494,2019,IL,Ingredion Incorporated Argo Plant,54556,Ingredion Inc - Illinois,17,31.0,41.7775,-87.8233,COAL,0.50544,54.6,159657.15,108812,38207,3 miles,68.0,79.0,65.0,0.49,67.0,82.0,66.0,0.38,0.25,0.39,0.3,57.0,56.0,52.0,0.29,0.3,0.33,0.1,82.0,92.0,83.0,0.05,0.02,0.04,0.16,76.0,81.0,72.0,0.11,0.1,0.13,6.230028100489451
1495,2019,PA,Scrubgrass Generating Plant,50974,Scrubgrass Generating Company LP,42,121.0,41.2691,-79.8134,COAL,0.2906,94.7,239190.66,678,296,3 miles,64.0,52.0,41.0,0.04,23.0,14.0,8.0,0.23,0.33,0.39,0.29,59.0,61.0,51.0,0.29,0.27,0.33,0.0,57.0,55.0,45.0,0.02,0.03,0.04,0.09,56.0,54.0,49.0,0.1,0.1,0.13,26.1724785515948
1496,2019,MI,Presque Isle,1769,Wisconsin Electric Power Co,26,103.0,46.5789,-87.395,COAL,0.04365,624.7,237969.98,19085,7232,3 miles,67.0,68.0,53.0,0.09,38.0,38.0,20.0,0.25,0.25,0.39,0.43,72.0,75.0,72.0,0.33,0.3,0.33,0.01,67.0,62.0,47.0,0.02,0.02,0.04,0.04,27.0,29.0,24.0,0.09,0.1,0.13,0.3869746828443482
1497,2019,PA,Ebensburg Power Company,10603,Ebensburg Power Co,42,21.0,40.455,-78.7472,COAL,0.46728,57.6,235296.83,6412,2894,3 miles,37.0,28.0,21.0,0.02,14.0,9.0,4.0,0.23,0.33,0.39,0.24,47.0,50.0,41.0,0.29,0.27,0.33,0.0,57.0,55.0,45.0,0.02,0.03,0.04,0.07,42.0,42.0,38.0,0.1,0.1,0.13,16.968713608622792
1498,2019,WY,General Chemical,54318,Tata Chemicals Partners,56,37.0,41.5933,-109.7542,COAL,0.83319,30.0,152345.46,0,0,3 miles,,,,,,,,0.16,0.25,0.39,,,,,0.28,0.28,0.33,,,,,0.01,0.02,0.04,,,,,0.07,0.08,0.13,21.89436075684443
1499,2019,PA,Kimberly-Clark Tissue Company,50410,Kimberly-Clark Corp,42,45.0,39.843743,-75.358801,COAL,0.27083,84.3,21554.541,72757,26360,3 miles,83.0,78.0,69.0,0.54,85.0,75.0,69.0,0.23,0.33,0.39,0.42,78.0,79.0,71.0,0.29,0.27,0.33,0.02,74.0,71.0,59.0,0.02,0.03,0.04,0.13,74.0,71.0,64.0,0.1,0.1,0.13,22.065379040571298
1501,2019,WI,Kaukauna Paper Mill,54098,Thilmany LLC,55,87.0,44.2826,-88.2534,COAL,0.49798,44.6,68023.89,25928,10569,3 miles,20.0,24.0,17.0,0.06,31.0,24.0,12.0,0.18,0.25,0.39,0.2,37.0,36.0,33.0,0.28,0.3,0.33,0.0,62.0,59.0,45.0,0.02,0.02,0.04,0.05,41.0,36.0,31.0,0.08,0.1,0.13,10.15556789554313
1585,2019,AK,Aurora Energy LLC Chena,79,Aurora Energy LLC,2,90.0,64.847743,-147.735063,COAL,0.68089,31.3,186691.0,35520,12794,3 miles,,,,0.39,60.0,76.0,58.0,0.39,0.28,0.39,0.31,68.0,58.0,54.0,0.25,0.3,0.33,0.01,63.0,54.0,52.0,0.02,0.03,0.04,0.08,58.0,53.0,43.0,0.07,0.09,0.13,14.799433608362124
1597,2019,MN,Northshore Mining Silver Bay Power,10849,Cleveland Cliffs Inc,27,75.0,47.286573,-91.260531,COAL,0.15826,131.6,176736.35,1886,926,3 miles,74.0,66.0,51.0,0.09,38.0,35.0,18.0,0.2,0.25,0.39,0.26,62.0,50.0,46.0,0.25,0.3,0.33,0.0,58.0,60.0,45.0,0.02,0.02,0.04,0.04,38.0,28.0,23.0,0.07,0.1,0.13,8.779023694728185
1604,2019,ND,Spiritwood Station,56786,Great River Energy,38,93.0,46.926423,-98.499713,COAL,0.19492,106.2,112610.147,55,21,3 miles,33.0,35.0,28.0,0.05,27.0,11.0,11.0,0.15,0.25,0.39,0.16,31.0,31.0,26.0,0.26,0.28,0.33,0.0,60.0,55.0,45.0,0.01,0.02,0.04,0.08,63.0,65.0,47.0,0.08,0.08,0.13,10.652664171391152
1625,2019,KY,John S. Cooper,1384,"East Kentucky Power Coop, Inc",21,199.0,36.9981,-84.5919,COAL,0.05595,344.0,168821.56,5665,2408,3 miles,63.0,45.0,49.0,0.05,34.0,9.0,11.0,0.15,0.39,0.39,0.52,75.0,77.0,82.0,0.38,0.36,0.33,0.0,73.0,51.0,45.0,0.01,0.03,0.04,0.19,71.0,75.0,77.0,0.14,0.13,0.13,229.37233778912275
1657,2019,MI,J B Sims,1825,City of Grand Haven - (MI),26,139.0,43.0706,-86.235,COAL,0.23865,80.0,166674.35,23056,10129,3 miles,32.0,36.0,27.0,0.06,24.0,26.0,13.0,0.25,0.25,0.39,0.24,41.0,46.0,42.0,0.33,0.3,0.33,0.01,66.0,62.0,47.0,0.02,0.02,0.04,0.05,36.0,37.0,31.0,0.09,0.1,0.13,2.864003933993414
1687,2019,WI,Biron Mill,10234,"ND Paper, Inc.",55,141.0,44.43,-89.78,COAL,0.30425,61.6,83530.346,5773,2642,3 miles,77.0,69.0,54.0,0.12,56.0,44.0,24.0,0.18,0.25,0.39,0.43,81.0,75.0,72.0,0.28,0.3,0.33,0.0,61.0,59.0,45.0,0.02,0.02,0.04,0.09,68.0,59.0,50.0,0.08,0.1,0.13,8.405367867966072
1690,2019,MD,Herbert A Wagner,1554,H.A. Wagner LLC,24,3.0,39.1781,-76.5268,COAL,0.01715,1058.5,131264.26,31107,11219,3 miles,4.0,8.0,6.0,0.17,22.0,42.0,33.0,0.49,0.33,0.39,0.13,36.0,26.0,19.0,0.22,0.27,0.33,0.01,51.0,60.0,49.0,0.03,0.03,0.04,0.08,55.0,51.0,46.0,0.1,0.1,0.13,31.530400976558767
1702,2019,PA,Northampton Generating Plant,50888,"EIF Northampton GP, LLC",42,95.0,40.6917,-75.4792,COAL,0.13142,134.1,130643.58,36440,14828,3 miles,39.0,29.0,22.0,0.16,59.0,41.0,31.0,0.23,0.33,0.39,0.23,45.0,49.0,39.0,0.29,0.27,0.33,0.02,68.0,65.0,53.0,0.02,0.03,0.04,0.08,51.0,50.0,45.0,0.1,0.1,0.13,2.55629083821108
1706,2019,PA,US Steel (Clairton Coke),50729,United States Steel- Clairton,42,3.0,40.3097,-79.8819,COAL,0.52219,31.0,0.0,37149,16783,3 miles,65.0,53.0,42.0,0.21,65.0,47.0,38.0,0.23,0.33,0.39,0.41,76.0,77.0,68.0,0.29,0.27,0.33,0.0,58.0,55.0,45.0,0.02,0.03,0.04,0.08,52.0,51.0,46.0,0.1,0.1,0.13,3.9119753873825673
1712,2019,MT,Hardin Generating Station,55749,Heorot Power Management,30,3.0,45.7578,-107.6,COAL,0.13534,115.7,135172.59,4294,1401,3 miles,95.0,89.0,72.0,0.55,95.0,89.0,70.0,0.14,0.25,0.39,0.58,90.0,92.0,87.0,0.34,0.28,0.33,0.0,83.0,55.0,45.0,0.0,0.02,0.04,0.12,84.0,78.0,61.0,0.07,0.08,0.13,78.9630834759758
1727,2019,PA,"WPS Westwood Generation, LLC",50611,"Rausch Creek Generation, LLC",42,107.0,40.6191,-76.45,COAL,0.40394,36.0,126088.8,1306,531,3 miles,57.0,46.0,35.0,0.02,11.0,8.0,4.0,0.23,0.33,0.39,0.35,69.0,70.0,61.0,0.29,0.27,0.33,0.0,57.0,55.0,45.0,0.02,0.03,0.04,0.12,70.0,67.0,61.0,0.1,0.1,0.13,0.7906813043150327
1736,2019,DE,Indian River,594,Indian River Operations Inc,10,5.0,38.5857,-75.2341,COAL,0.01719,804.1,119120.1,8991,3431,3 miles,61.0,66.0,56.0,0.33,50.0,61.0,52.0,0.37,0.33,0.39,0.33,69.0,67.0,58.0,0.27,0.27,0.33,0.01,54.0,61.0,50.0,0.02,0.03,0.04,0.15,75.0,76.0,69.0,0.1,0.1,0.13,13.107223858349512
1747,2019,GA,Hammond,708,Georgia Power Co,13,115.0,34.2528,-85.3456,COAL,0.01349,953.0,111235.51,2441,820,3 miles,23.0,23.0,23.0,0.13,13.0,24.0,27.0,0.47,0.39,0.39,0.33,48.0,47.0,57.0,0.36,0.36,0.33,0.0,51.0,51.0,45.0,0.03,0.03,0.04,0.21,80.0,80.0,81.0,0.13,0.13,0.13,5.7536109026558515
1756,2019,PA,Cambria Cogen,10641,Cambria CoGen Co,42,21.0,40.474167,-78.7014,COAL,0.12826,98.0,109938.25,6670,2837,3 miles,35.0,26.0,19.0,0.04,25.0,16.0,9.0,0.23,0.33,0.39,0.24,47.0,50.0,41.0,0.29,0.27,0.33,0.0,57.0,55.0,45.0,0.02,0.03,0.04,0.08,53.0,51.0,46.0,0.1,0.1,0.13,18.620807016037134
1820,2019,IA,Iowa State University,54201,Iowa State University,19,169.0,42.0275,-93.6394,COAL,0.24818,49.0,51774.567,65708,25018,3 miles,85.0,80.0,59.0,0.21,78.0,68.0,38.0,0.14,0.2,0.39,0.45,84.0,77.0,74.0,0.29,0.31,0.33,0.05,88.0,89.0,73.0,0.02,0.02,0.04,0.03,20.0,18.0,15.0,0.08,0.09,0.13,7.773926738192611
1826,2019,PA,Panther Creek Energy Facility,50776,"Panther Creek Power Operating, LLC",42,25.0,40.8556,-75.8781,COAL,0.12798,94.0,104608.33,9088,3945,3 miles,70.0,59.0,48.0,0.09,42.0,27.0,18.0,0.23,0.33,0.39,0.42,78.0,79.0,70.0,0.29,0.27,0.33,0.0,57.0,55.0,45.0,0.02,0.03,0.04,0.1,60.0,57.0,52.0,0.1,0.1,0.13,0.8033684986926366
